date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,100000.0
2024-02-05,99978.14
2024-02-06,99954.3
2024-02-07,99954.3
2024-02-08,99954.3
2024-02-09,99954.3
2024-02-12,99954.3
2024-02-13,99954.3
2024-02-14,99954.3
2024-02-15,99954.3
2024-02-16,99954.3
2024-02-20,99954.3
2024-02-21,99954.3
2024-02-22,99954.3
2024-02-23,99954.3
2024-02-26,99954.3
2024-02-27,99954.3
2024-02-28,99954.3
2024-02-29,99954.3
2024-03-01,99954.3
2024-03-04,99954.3
2024-03-05,99954.3
2024-03-06,99954.3
2024-03-07,99954.3
2024-03-08,99954.3
2024-03-11,99954.3
2024-03-12,99954.3
2024-03-13,99954.3
2024-03-14,99954.3
2024-03-15,99954.3
2024-03-18,99954.3
2024-03-19,99954.3
2024-03-20,99954.3
2024-03-21,99946.12
2024-03-22,99891.68
2024-03-25,99891.68
2024-03-26,99891.68
2024-03-27,99891.68
2024-03-28,99891.68
2024-04-01,99891.68
2024-04-02,99891.68
2024-04-03,99891.68
2024-04-04,99891.68
2024-04-05,99891.68
2024-04-08,99891.68
2024-04-09,99891.68
2024-04-10,99891.68
2024-04-11,99891.68
2024-04-12,99891.68
2024-04-15,99891.68
2024-04-16,99891.68
2024-04-17,99891.68
2024-04-18,99891.68
2024-04-19,99891.68
2024-04-22,99891.68
2024-04-23,99891.68
2024-04-24,99891.68
2024-04-25,99891.68
2024-04-26,99891.68
2024-04-29,99902.25
2024-04-30,99850.84
2024-05-01,99850.84
2024-05-02,99850.84
2024-05-03,99850.84
2024-05-06,99850.84
2024-05-07,99850.84
2024-05-08,99850.84
2024-05-09,99850.84
2024-05-10,99850.84
2024-05-13,99850.84
2024-05-14,99850.84
2024-05-15,99850.84
2024-05-16,99850.84
2024-05-17,99850.84
2024-05-20,99850.84
2024-05-21,99850.84
2024-05-22,99850.84
2024-05-23,99850.84
2024-05-24,99850.84
2024-05-28,99850.84
2024-05-29,99850.84
2024-05-30,99850.84
2024-05-31,99850.84
2024-06-03,99850.84
2024-06-04,99850.84
2024-06-05,99850.84
2024-06-06,99850.84
2024-06-07,99850.84
2024-06-10,99850.84
2024-06-11,99850.84
2024-06-12,99850.84
2024-06-13,99850.84
2024-06-14,99850.84
2024-06-17,99850.84
2024-06-18,99850.84
2024-06-20,99850.84
2024-06-21,99850.84
2024-06-24,99850.84
2024-06-25,99850.84
2024-06-26,99850.84
2024-06-27,99850.84
2024-06-28,99850.84
2024-07-01,99850.84
2024-07-02,99850.84
2024-07-03,99862.73
2024-07-05,99885.01
2024-07-08,99891.22
2024-07-09,99883.18
2024-07-10,99883.18
2024-07-11,99883.18
2024-07-12,99883.18
2024-07-15,99883.18
2024-07-16,99883.18
2024-07-17,99833.93
2024-07-18,99841.79
2024-07-19,99841.79
2024-07-22,99841.79
2024-07-23,99841.79
2024-07-24,99841.79
2024-07-25,99841.79
2024-07-26,99841.79
2024-07-29,99841.79
2024-07-30,99841.79
2024-07-31,99841.79
2024-08-01,99714.8
2024-08-02,99553.9
2024-08-05,99553.9
2024-08-06,99553.9
2024-08-07,99553.9
2024-08-08,99553.9
2024-08-09,99553.9
2024-08-12,99553.9
2024-08-13,99553.9
2024-08-14,99525.42
2024-08-15,99617.1
2024-08-16,99649.65
2024-08-19,99660.01
2024-08-20,99652.41
2024-08-21,99690.73
2024-08-22,99593.58
